   # time 		   # h_plus		   # h_cross 
   2.8000000e+01  -2.0853384e-02   7.4507157e-02
   2.8250000e+01  -2.1278512e-02   7.4387715e-02
   2.8500000e+01  -2.1702956e-02   7.4265874e-02
   2.8750000e+01  -2.2126703e-02   7.4141612e-02
   2.9000000e+01  -2.2549740e-02   7.4014959e-02
   2.9250000e+01  -2.2972051e-02   7.3885893e-02
   2.9500000e+01  -2.3393625e-02   7.3754445e-02
   2.9750000e+01  -2.3814446e-02   7.3620592e-02
   3.0000000e+01  -2.4234502e-02   7.3484367e-02
   3.0250000e+01  -2.4653779e-02   7.3345744e-02
   3.0500000e+01  -2.5072265e-02   7.3204757e-02
   3.0750000e+01  -2.5489945e-02   7.3061383e-02
   3.1000000e+01  -2.5906806e-02   7.2915654e-02
   3.1250000e+01  -2.6322834e-02   7.2767546e-02
   3.1500000e+01  -2.6738019e-02   7.2617093e-02
   3.1750000e+01  -2.7152343e-02   7.2464272e-02
   3.2000000e+01  -2.7565798e-02   7.2309114e-02
   3.2250000e+01  -2.7978365e-02   7.2151597e-02
   3.2500000e+01  -2.8390037e-02   7.1991754e-02
   3.2750000e+01  -2.8800795e-02   7.1829563e-02
   3.3000000e+01  -2.9210631e-02   7.1665055e-02
   3.3250000e+01  -2.9619527e-02   7.1498209e-02
   3.3500000e+01  -3.0027475e-02   7.1329058e-02
   3.3750000e+01  -3.0434457e-02   7.1157579e-02
   3.4000000e+01  -3.0840463e-02   7.0983805e-02
   3.4250000e+01  -3.1245478e-02   7.0807715e-02
   3.4500000e+01  -3.1649492e-02   7.0629340e-02
   3.4750000e+01  -3.2052487e-02   7.0448661e-02
   3.5000000e+01  -3.2454454e-02   7.0265709e-02
   3.5250000e+01  -3.2855377e-02   7.0080464e-02
   3.5500000e+01  -3.3255246e-02   6.9892957e-02
   3.5750000e+01  -3.3654045e-02   6.9703170e-02
   3.6000000e+01  -3.4051763e-02   6.9511133e-02
   3.6250000e+01  -3.4448385e-02   6.9316827e-02
   3.6500000e+01  -3.4843900e-02   6.9120284e-02
   3.6750000e+01  -3.5238294e-02   6.8921484e-02
   3.7000000e+01  -3.5631554e-02   6.8720460e-02
   3.7250000e+01  -3.6023668e-02   6.8517192e-02
   3.7500000e+01  -3.6414622e-02   6.8311712e-02
   3.7750000e+01  -3.6804405e-02   6.8104002e-02
   3.8000000e+01  -3.7193002e-02   6.7894094e-02
   3.8250000e+01  -3.7580403e-02   6.7681967e-02
   3.8500000e+01  -3.7966594e-02   6.7467656e-02
   3.8750000e+01  -3.8351563e-02   6.7251141e-02
   3.9000000e+01  -3.8735298e-02   6.7032455e-02
   3.9250000e+01  -3.9117786e-02   6.6811579e-02
   3.9500000e+01  -3.9499015e-02   6.6588545e-02
   3.9750000e+01  -3.9878973e-02   6.6363335e-02
   4.0000000e+01  -4.0257649e-02   6.6135982e-02
   4.0250000e+01  -4.0635029e-02   6.5906468e-02
   4.0500000e+01  -4.1011104e-02   6.5674824e-02
   4.0750000e+01  -4.1385859e-02   6.5441034e-02
   4.1000000e+01  -4.1759286e-02   6.5205129e-02
   4.1250000e+01  -4.2131368e-02   6.4967094e-02
   4.1500000e+01  -4.2502101e-02   6.4726957e-02
   4.1750000e+01  -4.2871464e-02   6.4484706e-02
   4.2000000e+01  -4.3239456e-02   6.4240369e-02
   4.2250000e+01  -4.3606055e-02   6.3993932e-02
   4.2500000e+01  -4.3971259e-02   6.3745425e-02
   4.2750000e+01  -4.4335048e-02   6.3494834e-02
   4.3000000e+01  -4.4697420e-02   6.3242189e-02
   4.3250000e+01  -4.5058352e-02   6.2987475e-02
   4.3500000e+01  -4.5417845e-02   6.2730724e-02
   4.3750000e+01  -4.5775875e-02   6.2471921e-02
   4.4000000e+01  -4.6132444e-02   6.2211096e-02
   4.4250000e+01  -4.6487527e-02   6.1948236e-02
   4.4500000e+01  -4.6841125e-02   6.1683371e-02
   4.4750000e+01  -4.7193214e-02   6.1416488e-02
   4.5000000e+01  -4.7543795e-02   6.1147617e-02
   4.5250000e+01  -4.7892844e-02   6.0876745e-02
   4.5500000e+01  -4.8240362e-02   6.0603902e-02
   4.5750000e+01  -4.8586325e-02   6.0329076e-02
   4.6000000e+01  -4.8930733e-02   6.0052296e-02
   4.6250000e+01  -4.9273564e-02   5.9773551e-02
   4.6500000e+01  -4.9614815e-02   5.9492871e-02
   4.6750000e+01  -4.9954467e-02   5.9210242e-02
   4.7000000e+01  -5.0292515e-02   5.8925697e-02
   4.7250000e+01  -5.0628942e-02   5.8639223e-02
   4.7500000e+01  -5.0963740e-02   5.8350850e-02
   4.7750000e+01  -5.1296895e-02   5.8060566e-02
   4.8000000e+01  -5.1628398e-02   5.7768402e-02
   4.8250000e+01  -5.1958236e-02   5.7474346e-02
   4.8500000e+01  -5.2286396e-02   5.7178429e-02
   4.8750000e+01  -5.2612872e-02   5.6880639e-02
   4.9000000e+01  -5.2937646e-02   5.6581008e-02
   4.9250000e+01  -5.3260714e-02   5.6279522e-02
   4.9500000e+01  -5.3582057e-02   5.5976215e-02
   4.9750000e+01  -5.3901673e-02   5.5671072e-02
   5.0000000e+01  -5.4219543e-02   5.5364128e-02
   5.0250000e+01  -5.4535665e-02   5.5055368e-02
   5.0500000e+01  -5.4850018e-02   5.4744825e-02
   5.0750000e+01  -5.5162603e-02   5.4432488e-02
   5.1000000e+01  -5.5473399e-02   5.4118388e-02
   5.1250000e+01  -5.5782407e-02   5.3802513e-02
   5.1500000e+01  -5.6089606e-02   5.3484895e-02
   5.1750000e+01  -5.6394997e-02   5.3165523e-02
   5.2000000e+01  -5.6698561e-02   5.2844428e-02
   5.2250000e+01  -5.7000296e-02   5.2521600e-02
   5.2500000e+01  -5.7300186e-02   5.2197069e-02
   5.2750000e+01  -5.7598228e-02   5.1870826e-02
   5.3000000e+01  -5.7894408e-02   5.1542902e-02
   5.3250000e+01  -5.8188720e-02   5.1213286e-02
   5.3500000e+01  -5.8481154e-02   5.0882009e-02
   5.3750000e+01  -5.8771702e-02   5.0549063e-02
   5.4000000e+01  -5.9060355e-02   5.0214476e-02
   5.4250000e+01  -5.9347103e-02   4.9878242e-02
   5.4500000e+01  -5.9631941e-02   4.9540389e-02
   5.4750000e+01  -5.9914855e-02   4.9200910e-02
   5.5000000e+01  -6.0195843e-02   4.8859835e-02
   5.5250000e+01  -6.0474889e-02   4.8517155e-02
   5.5500000e+01  -6.0751994e-02   4.8172900e-02
   5.5750000e+01  -6.1027139e-02   4.7827063e-02
   5.6000000e+01  -6.1300326e-02   4.7479674e-02
   5.6250000e+01  -6.1571536e-02   4.7130725e-02
   5.6500000e+01  -6.1840773e-02   4.6780246e-02
   5.6750000e+01  -6.2108015e-02   4.6428229e-02
   5.7000000e+01  -6.2373267e-02   4.6074706e-02
   5.7250000e+01  -6.2636507e-02   4.5719667e-02
   5.7500000e+01  -6.2897741e-02   4.5363145e-02
   5.7750000e+01  -6.3156946e-02   4.5005130e-02
   5.8000000e+01  -6.3414127e-02   4.4645655e-02
   5.8250000e+01  -6.3669262e-02   4.4284710e-02
   5.8500000e+01  -6.3922356e-02   4.3922327e-02
   5.8750000e+01  -6.4173388e-02   4.3558498e-02
   5.9000000e+01  -6.4422361e-02   4.3193256e-02
   5.9250000e+01  -6.4669255e-02   4.2826590e-02
   5.9500000e+01  -6.4914073e-02   4.2458533e-02
   5.9750000e+01  -6.5156796e-02   4.2089077e-02
   6.0000000e+01  -6.5397424e-02   4.1718253e-02
   6.0250000e+01  -6.5635942e-02   4.1346054e-02
   6.0500000e+01  -6.5872347e-02   4.0972510e-02
   6.0750000e+01  -6.6106626e-02   4.0597615e-02
   6.1000000e+01  -6.6338775e-02   4.0221398e-02
   6.1250000e+01  -6.6568782e-02   3.9843855e-02
   6.1500000e+01  -6.6796641e-02   3.9465014e-02
   6.1750000e+01  -6.7022344e-02   3.9084870e-02
   6.2000000e+01  -6.7245882e-02   3.8703451e-02
   6.2250000e+01  -6.7467249e-02   3.8320755e-02
   6.2500000e+01  -6.7686434e-02   3.7936808e-02
   6.2750000e+01  -6.7903434e-02   3.7551607e-02
   6.3000000e+01  -6.8118237e-02   3.7165181e-02
   6.3250000e+01  -6.8330840e-02   3.6777525e-02
   6.3500000e+01  -6.8541230e-02   3.6388667e-02
   6.3750000e+01  -6.8749407e-02   3.5998606e-02
   6.4000000e+01  -6.8955357e-02   3.5607367e-02
   6.4250000e+01  -6.9159080e-02   3.5214949e-02
   6.4500000e+01  -6.9360563e-02   3.4821379e-02
   6.4750000e+01  -6.9559805e-02   3.4426656e-02
   6.5000000e+01  -6.9756793e-02   3.4030805e-02
   6.5250000e+01  -6.9951528e-02   3.3633828e-02
   6.5500000e+01  -7.0143997e-02   3.3235748e-02
   6.5750000e+01  -7.0334200e-02   3.2836567e-02
   6.6000000e+01  -7.0522125e-02   3.2436311e-02
   6.6250000e+01  -7.0707772e-02   3.2034979e-02
   6.6500000e+01  -7.0891129e-02   3.1632598e-02
   6.6750000e+01  -7.1072196e-02   3.1229168e-02
   6.7000000e+01  -7.1250963e-02   3.0824716e-02
   6.7250000e+01  -7.1427428e-02   3.0419240e-02
   6.7500000e+01  -7.1601582e-02   3.0012770e-02
   6.7750000e+01  -7.1773423e-02   2.9605303e-02
   6.8000000e+01  -7.1942943e-02   2.9196870e-02
   6.8250000e+01  -7.2110138e-02   2.8787465e-02
   6.8500000e+01  -7.2275002e-02   2.8377122e-02
   6.8750000e+01  -7.2437531e-02   2.7965835e-02
   6.9000000e+01  -7.2597719e-02   2.7553637e-02
   6.9250000e+01  -7.2755561e-02   2.7140521e-02
   6.9500000e+01  -7.2911053e-02   2.6726522e-02
   6.9750000e+01  -7.3064189e-02   2.6311632e-02
   7.0000000e+01  -7.3214964e-02   2.5895887e-02
   7.0250000e+01  -7.3363374e-02   2.5479279e-02
   7.0500000e+01  -7.3509415e-02   2.5061842e-02
   7.0750000e+01  -7.3653080e-02   2.4643568e-02
   7.1000000e+01  -7.3794367e-02   2.4224494e-02
   7.1250000e+01  -7.3933270e-02   2.3804610e-02
   7.1500000e+01  -7.4069785e-02   2.3383952e-02
   7.1750000e+01  -7.4203906e-02   2.2962511e-02
   7.2000000e+01  -7.4335632e-02   2.2540324e-02
   7.2250000e+01  -7.4464956e-02   2.2117380e-02
   7.2500000e+01  -7.4591876e-02   2.1693716e-02
   7.2750000e+01  -7.4716385e-02   2.1269324e-02
   7.3000000e+01  -7.4838483e-02   2.0844236e-02
   7.3250000e+01  -7.4958161e-02   2.0418448e-02
   7.3500000e+01  -7.5075421e-02   1.9991990e-02
   7.3750000e+01  -7.5190254e-02   1.9564858e-02
   7.4000000e+01  -7.5302660e-02   1.9137083e-02
   7.4250000e+01  -7.5412632e-02   1.8708662e-02
   7.4500000e+01  -7.5520170e-02   1.8279622e-02
   7.4750000e+01  -7.5625268e-02   1.7849964e-02
   7.5000000e+01  -7.5727925e-02   1.7419712e-02
   7.5250000e+01  -7.5828134e-02   1.6988871e-02
   7.5500000e+01  -7.5925896e-02   1.6557461e-02
   7.5750000e+01  -7.6021204e-02   1.6125489e-02
   7.6000000e+01  -7.6114058e-02   1.5692976e-02
   7.6250000e+01  -7.6204451e-02   1.5259928e-02
   7.6500000e+01  -7.6292385e-02   1.4826364e-02
   7.6750000e+01  -7.6377852e-02   1.4392294e-02
   7.7000000e+01  -7.6460853e-02   1.3957735e-02
   7.7250000e+01  -7.6541382e-02   1.3522698e-02
   7.7500000e+01  -7.6619439e-02   1.3087200e-02
   7.7750000e+01  -7.6695018e-02   1.2651252e-02
   7.8000000e+01  -7.6768120e-02   1.2214871e-02
   7.8250000e+01  -7.6838738e-02   1.1778068e-02
   7.8500000e+01  -7.6906872e-02   1.1340861e-02
   7.8750000e+01  -7.6972519e-02   1.0903261e-02
   7.9000000e+01  -7.7035676e-02   1.0465286e-02
   7.9250000e+01  -7.7096341e-02   1.0026945e-02
   7.9500000e+01  -7.7154509e-02   9.5882611e-03
   7.9750000e+01  -7.7210182e-02   9.1492394e-03
   8.0000000e+01  -7.7263353e-02   8.7099045e-03
   8.0250000e+01  -7.7314024e-02   8.2702606e-03
   8.0500000e+01  -7.7362188e-02   7.8303343e-03
   8.0750000e+01  -7.7407848e-02   7.3901277e-03
   8.1000000e+01  -7.7450996e-02   6.9496697e-03
   8.1250000e+01  -7.7491637e-02   6.5089599e-03
   8.1500000e+01  -7.7529762e-02   6.0680297e-03
   8.1750000e+01  -7.7565377e-02   5.6268764e-03
   8.2000000e+01  -7.7598470e-02   5.1855336e-03
   8.2250000e+01  -7.7629053e-02   4.7439964e-03
   8.2500000e+01  -7.7657110e-02   4.3023003e-03
   8.2750000e+01  -7.7682654e-02   3.8604384e-03
   8.3000000e+01  -7.7705670e-02   3.4184477e-03
   8.3250000e+01  -7.7726171e-02   2.9763200e-03
   8.3500000e+01  -7.7744142e-02   2.5340931e-03
   8.3750000e+01  -7.7759597e-02   2.0917580e-03
   8.4000000e+01  -7.7772521e-02   1.6493525e-03
   8.4250000e+01  -7.7782928e-02   1.2068676e-03
   8.4500000e+01  -7.7790805e-02   7.6434062e-04
   8.4750000e+01  -7.7796163e-02   3.2176307e-04
   8.5000000e+01  -7.7798992e-02  -1.2082903e-04
   8.5250000e+01  -7.7799302e-02  -5.6344288e-04
   8.5500000e+01  -7.7797085e-02  -1.0060443e-03
   8.5750000e+01  -7.7792349e-02  -1.4486386e-03
   8.6000000e+01  -7.7785087e-02  -1.8911940e-03
   8.6250000e+01  -7.7775308e-02  -2.3337136e-03
   8.6500000e+01  -7.7763006e-02  -2.7761681e-03
   8.6750000e+01  -7.7748187e-02  -3.2185581e-03
   8.7000000e+01  -7.7730848e-02  -3.6608570e-03
   8.7250000e+01  -7.7710994e-02  -4.1030629e-03
   8.7500000e+01  -7.7688624e-02  -4.5451518e-03
   8.7750000e+01  -7.7663739e-02  -4.9871189e-03
   8.8000000e+01  -7.7636342e-02  -5.4289432e-03
   8.8250000e+01  -7.7606433e-02  -5.8706171e-03
   8.8500000e+01  -7.7574015e-02  -6.3121219e-03
   8.8750000e+01  -7.7539087e-02  -6.7534479e-03
   8.9000000e+01  -7.7501654e-02  -7.1945782e-03
   8.9250000e+01  -7.7461712e-02  -7.6355011e-03
   8.9500000e+01  -7.7419270e-02  -8.0762011e-03
   8.9750000e+01  -7.7374320e-02  -8.5166653e-03
   9.0000000e+01  -7.7326873e-02  -8.9568789e-03
   9.0250000e+01  -7.7276922e-02  -9.3968282e-03
   9.0500000e+01  -7.7224476e-02  -9.8364986e-03
   9.0750000e+01  -7.7169529e-02  -1.0275876e-02
   9.1000000e+01  -7.7112089e-02  -1.0714946e-02
   9.1250000e+01  -7.7052151e-02  -1.1153695e-02
   9.1500000e+01  -7.6989722e-02  -1.1592106e-02
   9.1750000e+01  -7.6924799e-02  -1.2030168e-02
   9.2000000e+01  -7.6857386e-02  -1.2467862e-02
   9.2250000e+01  -7.6787483e-02  -1.2905178e-02
   9.2500000e+01  -7.6715091e-02  -1.3342096e-02
   9.2750000e+01  -7.6640214e-02  -1.3778608e-02
   9.3000000e+01  -7.6562849e-02  -1.4214691e-02
   9.3250000e+01  -7.6483003e-02  -1.4650340e-02
   9.3500000e+01  -7.6400672e-02  -1.5085529e-02
   9.3750000e+01  -7.6315864e-02  -1.5520255e-02
   9.4000000e+01  -7.6228573e-02  -1.5954491e-02
   9.4250000e+01  -7.6138810e-02  -1.6388236e-02
   9.4500000e+01  -7.6046566e-02  -1.6821460e-02
   9.4750000e+01  -7.5951857e-02  -1.7254165e-02
   9.5000000e+01  -7.5854670e-02  -1.7686319e-02
   9.5250000e+01  -7.5755024e-02  -1.8117926e-02
   9.5500000e+01  -7.5652904e-02  -1.8548952e-02
   9.5750000e+01  -7.5548331e-02  -1.8979402e-02
   9.6000000e+01  -7.5441289e-02  -1.9409243e-02
   9.6250000e+01  -7.5331802e-02  -1.9838481e-02
   9.6500000e+01  -7.5219852e-02  -2.0267081e-02
   9.6750000e+01  -7.5105464e-02  -2.0695050e-02
   9.7000000e+01  -7.4988620e-02  -2.1122353e-02
   9.7250000e+01  -7.4869346e-02  -2.1548997e-02
   9.7500000e+01  -7.4747625e-02  -2.1974949e-02
   9.7750000e+01  -7.4623480e-02  -2.2400213e-02
   9.8000000e+01  -7.4496900e-02  -2.2824760e-02
   9.8250000e+01  -7.4367903e-02  -2.3248592e-02
   9.8500000e+01  -7.4236481e-02  -2.3671679e-02
   9.8750000e+01  -7.4102652e-02  -2.4094024e-02
   9.9000000e+01  -7.3966408e-02  -2.4515601e-02
   9.9250000e+01  -7.3827766e-02  -2.4936407e-02
   9.9500000e+01  -7.3686722e-02  -2.5356419e-02
   9.9750000e+01  -7.3543288e-02  -2.5775633e-02
   1.0000000e+02  -7.3397464e-02  -2.6194029e-02
   1.0025000e+02  -7.3249259e-02  -2.6611599e-02
   1.0050000e+02  -7.3098677e-02  -2.7028326e-02
   1.0075000e+02  -7.2945725e-02  -2.7444202e-02
   1.0100000e+02  -7.2790407e-02  -2.7859208e-02
   1.0125000e+02  -7.2632728e-02  -2.8273335e-02
   1.0150000e+02  -7.2472696e-02  -2.8686568e-02
   1.0175000e+02  -7.2310313e-02  -2.9098895e-02
   1.0200000e+02  -7.2145589e-02  -2.9510302e-02
   1.0225000e+02  -7.1978524e-02  -2.9920777e-02
   1.0250000e+02  -7.1809129e-02  -3.0330305e-02
   1.0275000e+02  -7.1637405e-02  -3.0738874e-02
   1.0300000e+02  -7.1463361e-02  -3.1146470e-02
   1.0325000e+02  -7.1286998e-02  -3.1553081e-02
   1.0350000e+02  -7.1108326e-02  -3.1958691e-02
   1.0375000e+02  -7.0927346e-02  -3.2363290e-02
   1.0400000e+02  -7.0744067e-02  -3.2766860e-02
   1.0425000e+02  -7.0558491e-02  -3.3169393e-02
   1.0450000e+02  -7.0370626e-02  -3.3570870e-02
   1.0475000e+02  -7.0180476e-02  -3.3971283e-02
   1.0500000e+02  -6.9988046e-02  -3.4370612e-02
   1.0525000e+02  -6.9793343e-02  -3.4768851e-02
   1.0550000e+02  -6.9596368e-02  -3.5165978e-02
   1.0575000e+02  -6.9397134e-02  -3.5561990e-02
   1.0600000e+02  -6.9195638e-02  -3.5956862e-02
   1.0625000e+02  -6.8991894e-02  -3.6350592e-02
   1.0650000e+02  -6.8785898e-02  -3.6743154e-02
   1.0675000e+02  -6.8577668e-02  -3.7134550e-02
   1.0700000e+02  -6.8367196e-02  -3.7524750e-02
   1.0725000e+02  -6.8154503e-02  -3.7913758e-02
   1.0750000e+02  -6.7939579e-02  -3.8301545e-02
   1.0775000e+02  -6.7722448e-02  -3.8688113e-02
   1.0800000e+02  -6.7503098e-02  -3.9073433e-02
   1.0825000e+02  -6.7281555e-02  -3.9457510e-02
   1.0850000e+02  -6.7057806e-02  -3.9840314e-02
   1.0875000e+02  -6.6831879e-02  -4.0221850e-02
   1.0900000e+02  -6.6603759e-02  -4.0602087e-02
   1.0925000e+02  -6.6373476e-02  -4.0981031e-02
   1.0950000e+02  -6.6141015e-02  -4.1358653e-02
   1.0975000e+02  -6.5906406e-02  -4.1734956e-02
   1.1000000e+02  -6.5669636e-02  -4.2109914e-02
   1.1025000e+02  -6.5430732e-02  -4.2483529e-02
   1.1050000e+02  -6.5189684e-02  -4.2855775e-02
   1.1075000e+02  -6.4946518e-02  -4.3226654e-02
   1.1100000e+02  -6.4701226e-02  -4.3596142e-02
   1.1125000e+02  -6.4453832e-02  -4.3964238e-02
   1.1150000e+02  -6.4204331e-02  -4.4330920e-02
   1.1175000e+02  -6.3952743e-02  -4.4696187e-02
   1.1200000e+02  -6.3699066e-02  -4.5060019e-02
   1.1225000e+02  -6.3443320e-02  -4.5422411e-02
   1.1250000e+02  -6.3185504e-02  -4.5783347e-02
   1.1275000e+02  -6.2925634e-02  -4.6142818e-02
   1.1300000e+02  -6.2663715e-02  -4.6500812e-02
   1.1325000e+02  -6.2399759e-02  -4.6857318e-02
   1.1350000e+02  -6.2133771e-02  -4.7212323e-02
   1.1375000e+02  -6.1865764e-02  -4.7565819e-02
   1.1400000e+02  -6.1595745e-02  -4.7917791e-02
   1.1425000e+02  -6.1323724e-02  -4.8268231e-02
   1.1450000e+02  -6.1049709e-02  -4.8617125e-02
   1.1475000e+02  -6.0773708e-02  -4.8964464e-02
   1.1500000e+02  -6.0495733e-02  -4.9310234e-02
   1.1525000e+02  -6.0215790e-02  -4.9654426e-02
   1.1550000e+02  -5.9933889e-02  -4.9997026e-02
   1.1575000e+02  -5.9650038e-02  -5.0338027e-02
   1.1600000e+02  -5.9364247e-02  -5.0677412e-02
   1.1625000e+02  -5.9076525e-02  -5.1015175e-02
   1.1650000e+02  -5.8786879e-02  -5.1351301e-02
   1.1675000e+02  -5.8495320e-02  -5.1685781e-02
   1.1700000e+02  -5.8201854e-02  -5.2018601e-02
   1.1725000e+02  -5.7906494e-02  -5.2349754e-02
   1.1750000e+02  -5.7609243e-02  -5.2679222e-02
   1.1775000e+02  -5.7310118e-02  -5.3007003e-02
   1.1800000e+02  -5.7009117e-02  -5.3333076e-02
   1.1825000e+02  -5.6706262e-02  -5.3657439e-02
   1.1850000e+02  -5.6401549e-02  -5.3980072e-02
   1.1875000e+02  -5.6095000e-02  -5.4300975e-02
   1.1900000e+02  -5.5786610e-02  -5.4620124e-02
   1.1925000e+02  -5.5476404e-02  -5.4937522e-02
   1.1950000e+02  -5.5164375e-02  -5.5253145e-02
